id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
2168,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2170,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0
2174,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0
2177,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0
2183,,1.0,0.0,,,1.0,,1.0,1.0,-1.0,,-1.0
2186,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2188,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0
2192,-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0
2195,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0
2199,1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
2201,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0
2202,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0
2204,0.0,,,1.0,1.0,,0.0,0.0,,-1.0,1.0,0.0
2208,0.0,,,,,,0.0,,,,1.0,0.0
2209,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0
2212,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0
2213,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0
2215,0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0
