id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
309,1.0,2.0,0.0,0.0,0.0,1.0,3.0,,3.0,0.0,3.0,1.0
311,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0
312,,,,2.0,2.0,,,,,,3.0,2.0
314,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0
315,2.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0
316,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
324,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0
327,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
331,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0
335,,,,,,,,,,,3.0,3.0
336,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0
339,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0
340,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
342,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0
344,2.0,,,,1.0,,1.0,,,,3.0,2.0
346,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0
347,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0
348,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
350,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
353,,0.0,0.0,,1.0,0.0,,,0.0,2.0,0.0,
355,1.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0
359,2.0,,,1.0,,,,,,,2.0,3.0
360,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0
362,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0
363,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
368,,,,2.0,1.0,,,,,,3.0,2.0
372,1.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0
373,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0
375,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
378,1.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0
380,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0
386,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
393,,,,,1.0,,2.0,,1.0,,3.0,2.0
395,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
397,2.0,,,1.0,2.0,,1.0,,,,3.0,3.0
400,,,,,,,2.0,3.0,,,1.0,
403,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0
406,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
412,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
414,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0
417,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
419,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
421,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0
423,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
424,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0
426,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
429,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
430,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
435,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
438,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
439,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
440,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0
444,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
447,2.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0
448,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
449,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0
