candidate,total_score,rank,strategy,dataset
Nathalie.Arthaud,302.4,6,multiple_imp,scores_3_pos
Emmanuel.Macron,264.6,7,multiple_imp,scores_3_pos
Jean.Lassalle,200.79999999999995,8,multiple_imp,scores_3_pos
Valérie.Pecresse,112.40000000000009,9,multiple_imp,scores_3_pos
Nicolas.Dupont.Aignan,61.60000000000002,10,multiple_imp,scores_3_pos
Marine.Le.Pen,55.20000000000002,11,multiple_imp,scores_3_pos
Eric.Zemmour,43.8,12,multiple_imp,scores_3_pos
Jean.Luc.Mélenchon,1107,1,lowest_rank,scores_4_neg
Yannick.Jadot,790,2,lowest_rank,scores_4_neg
Philippe.Poutou,512,3,lowest_rank,scores_4_neg
Fabien.Roussel,290,4,lowest_rank,scores_4_neg
Anne.Hidalgo,220,5,lowest_rank,scores_4_neg
Nathalie.Arthaud,91,6,lowest_rank,scores_4_neg
Emmanuel.Macron,-110,7,lowest_rank,scores_4_neg
Jean.Lassalle,-197,8,lowest_rank,scores_4_neg
Valérie.Pecresse,-505,9,lowest_rank,scores_4_neg
Nicolas.Dupont.Aignan,-702,10,lowest_rank,scores_4_neg
Marine.Le.Pen,-722,11,lowest_rank,scores_4_neg
Eric.Zemmour,-771,12,lowest_rank,scores_4_neg
Jean.Luc.Mélenchon,956,1,complete_case,scores_4_neg
Yannick.Jadot,691,2,complete_case,scores_4_neg
Philippe.Poutou,481,3,complete_case,scores_4_neg
Fabien.Roussel,311,4,complete_case,scores_4_neg
Anne.Hidalgo,215,5,complete_case,scores_4_neg
Nathalie.Arthaud,127,6,complete_case,scores_4_neg
Emmanuel.Macron,-110,7,complete_case,scores_4_neg
Jean.Lassalle,-113,8,complete_case,scores_4_neg
Valérie.Pecresse,-413,9,complete_case,scores_4_neg
Nicolas.Dupont.Aignan,-581,10,complete_case,scores_4_neg
Marine.Le.Pen,-598,11,complete_case,scores_4_neg
Eric.Zemmour,-642,12,complete_case,scores_4_neg
Jean.Luc.Mélenchon,1138.1706783369805,1,mean_imp,scores_4_neg
Yannick.Jadot,841.4827968923416,2,mean_imp,scores_4_neg
Philippe.Poutou,588.821793416572,3,mean_imp,scores_4_neg
Fabien.Roussel,374.19354838709614,4,mean_imp,scores_4_neg
Anne.Hidalgo,277.14027149321277,5,mean_imp,scores_4_neg
Nathalie.Arthaud,161.43778801843294,6,mean_imp,scores_4_neg
Emmanuel.Macron,-62.43101482326109,7,mean_imp,scores_4_neg
Jean.Lassalle,-122.33729216151987,8,mean_imp,scores_4_neg
Valérie.Pecresse,-464,9,mean_imp,scores_4_neg
Nicolas.Dupont.Aignan,-677.727923627686,10,mean_imp,scores_4_neg
Marine.Le.Pen,-701.497630331755,11,mean_imp,scores_4_neg
Eric.Zemmour,-754.758620689656,12,mean_imp,scores_4_neg
Jean.Luc.Mélenchon,1126.2131933744222,1,cluster_imp,scores_4_neg
Yannick.Jadot,840.8546799104848,2,cluster_imp,scores_4_neg
Philippe.Poutou,560.6579250128407,3,cluster_imp,scores_4_neg
Fabien.Roussel,373.64320905789117,4,cluster_imp,scores_4_neg
Anne.Hidalgo,277.40468779807765,5,cluster_imp,scores_4_neg
Nathalie.Arthaud,144.8494003595275,6,cluster_imp,scores_4_neg
