id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
431,0,0,0,3,4,0,1,0,0,0,2,0
432,0,0,0,2,1,0,0,0,0,4,3,0
433,0,0,0,0,3,0,2,0,0,0,4,1
435,0,0,0,0,3,0,2,0,0,0,4,1
437,0,0,0,1,2,0,0,0,0,0,4,3
438,1,0,0,0,3,0,0,2,0,0,4,0
440,0,2,0,0,0,4,0,1,3,0,0,0
442,0,0,0,1,3,0,0,0,0,0,4,2
443,0,0,0,3,2,0,0,0,0,4,1,0
444,0,0,0,0,3,0,2,0,0,1,4,0
445,2,0,0,0,1,0,0,0,0,0,3,4
450,0,0,0,0,0,0,0,4,1,0,3,2
455,0,0,0,0,2,0,1,0,0,0,4,3
460,0,0,0,1,3,0,0,0,0,0,4,2
461,0,0,0,1,2,0,0,0,0,0,4,3
462,0,0,3,2,0,0,1,0,0,4,0,0
463,0,0,0,3,4,0,0,0,0,2,1,0
468,0,0,0,0,0,0,2,4,1,0,3,0
469,0,0,1,2,0,0,0,3,0,4,0,0
471,0,0,0,0,3,0,1,2,0,0,4,0
472,0,0,0,2,0,0,1,0,0,0,4,3
474,0,0,0,0,3,0,1,0,0,0,4,2
477,0,1,2,0,0,4,0,0,0,0,3,0
479,2,0,0,0,0,0,1,0,0,0,3,4
480,0,0,0,2,0,0,1,0,0,0,3,4
481,0,1,0,0,0,4,0,2,3,0,0,0
488,1,0,0,0,2,0,0,0,0,0,3,4
489,0,0,0,3,4,0,0,0,0,2,1,0
490,0,0,0,2,3,0,1,0,0,0,4,0
498,0,3,0,0,1,0,2,0,0,4,0,0
500,0,0,0,2,4,1,3,0,0,0,0,0
503,0,0,0,1,3,0,2,0,0,0,4,0
506,0,0,0,2,4,0,1,0,0,0,3,0
519,0,0,0,2,4,0,0,0,0,0,3,1
520,2,0,0,0,0,0,1,0,0,0,3,4
521,0,0,2,0,4,0,0,0,0,3,1,0
524,0,0,0,1,2,0,0,0,0,0,3,4
529,0,0,0,0,4,0,0,1,0,0,3,2
530,0,0,0,1,0,3,0,4,2,0,0,0
531,0,0,0,2,4,0,1,0,0,3,0,0
535,0,0,0,1,3,0,4,0,0,0,2,0
539,0,0,0,3,4,0,0,0,0,1,2,0
540,0,0,0,2,4,0,1,0,0,0,3,0
541,0,0,0,2,1,0,0,0,0,0,3,4
542,0,0,1,2,4,0,0,0,0,3,0,0
543,0,0,2,1,0,0,0,0,0,4,3,0
548,0,0,3,1,2,0,0,0,0,4,0,0
554,0,0,0,3,4,0,2,0,0,0,0,1
560,0,0,0,2,3,0,0,0,0,0,4,1
564,0,0,0,0,3,0,2,1,0,4,0,0
567,0,1,0,0,0,0,2,0,4,0,3,0
568,0,0,0,3,2,0,0,1,0,0,4,0
569,0,0,0,0,2,0,1,0,0,4,3,0
572,0,0,0,0,1,0,0,0,2,4,3,0
574,0,0,1,0,4,0,0,0,0,3,2,0
576,0,0,0,1,2,0,0,0,0,4,3,0
580,0,0,0,0,3,0,2,0,0,0,4,1
581,0,0,1,2,4,0,0,0,0,3,0,0
583,0,0,0,2,3,0,1,0,0,0,4,0
584,2,0,0,0,4,0,0,0,0,3,1,0
588,0,0,0,0,4,0,3,0,0,0,2,1
589,0,0,0,1,3,0,4,0,0,2,0,0
590,0,0,0,3,2,0,1,0,0,0,4,0
595,0,0,0,1,2,0,0,0,0,0,4,3
599,0,0,0,2,4,0,0,0,0,0,3,1
600,0,0,0,1,3,0,0,0,0,0,4,2
602,0,0,0,3,2,0,0,0,0,0,4,1
603,2,0,0,0,0,0,1,0,0,0,4,3
610,0,0,0,1,0,0,2,0,0,0,4,3
611,1,0,0,0,0,0,2,0,0,0,4,3
612,0,0,0,0,1,0,0,2,0,0,4,3
613,0,2,3,0,1,0,0,0,0,4,0,0
614,0,1,0,0,0,2,0,0,3,0,4,0
615,0,0,3,0,1,0,0,2,0,4,0,0
618,2,0,0,0,1,0,0,0,0,0,3,4
621,0,0,0,2,4,0,0,0,0,3,1,0
624,0,0,0,3,2,0,1,0,0,4,0,0
625,0,0,2,3,1,0,0,0,0,4,0,0
627,0,0,0,2,0,0,3,1,0,4,0,0
639,0,0,0,1,4,0,0,0,0,3,2,0
642,0,0,0,4,3,0,0,0,0,2,1,0
644,0,0,0,2,3,0,0,0,0,0,4,1
645,0,0,0,4,3,0,0,0,0,2,1,0
648,0,0,0,1,2,0,0,0,0,0,3,4
650,0,0,0,0,2,0,1,0,0,0,3,4
656,0,0,0,1,4,0,0,0,0,2,3,0
657,0,0,0,1,3,0,2,0,0,0,4,0
663,0,0,0,0,2,0,0,1,0,0,3,4
664,0,0,1,0,0,3,0,4,2,0,0,0
666,0,0,0,4,3,0,0,0,0,1,2,0
667,0,0,1,2,3,0,0,0,0,4,0,0
670,0,0,0,2,4,0,0,1,0,0,3,0
671,0,0,0,1,4,0,2,0,0,3,0,0
672,0,0,0,2,4,0,1,0,0,0,3,0
676,0,0,0,0,2,0,3,1,0,0,4,0
677,3,0,0,2,0,0,0,0,0,0,1,4
678,0,0,0,2,4,0,0,0,0,1,3,0
681,1,0,0,3,4,0,2,0,0,0,0,0
684,0,0,0,0,2,0,4,0,0,0,3,1
686,0,0,0,2,4,0,0,0,0,1,3,0
687,4,0,0,0,0,0,1,0,0,0,2,3
688,1,0,0,2,3,0,0,0,0,0,4,0
693,0,0,0,2,3,0,1,0,0,0,4,0
700,1,0,0,0,2,0,0,0,0,0,4,3
708,0,0,0,0,3,0,1,0,0,0,4,2
709,0,0,0,1,3,0,0,0,0,0,4,2
712,0,0,0,0,2,0,1,0,0,0,3,4
714,0,0,0,0,2,0,1,0,0,3,4,0
715,0,0,0,1,3,0,0,0,0,0,4,2
716,0,0,0,0,4,0,3,0,0,1,2,0
720,0,0,3,0,2,0,0,1,0,4,0,0
725,2,0,0,0,3,0,4,0,0,0,1,0
735,0,0,0,1,3,0,0,0,0,0,4,2
737,0,0,0,2,3,0,0,0,0,1,4,0
741,0,0,0,2,1,0,0,0,0,4,3,0
746,0,0,0,1,3,0,0,0,0,0,4,2
747,0,0,0,0,3,0,1,0,0,2,4,0
749,0,0,0,2,1,0,0,0,0,4,3,0
757,0,0,0,1,4,0,2,0,0,0,3,0
759,0,0,0,3,1,0,2,0,0,0,4,0
763,1,0,0,0,3,0,0,0,0,0,4,2
765,0,0,0,0,3,0,0,1,0,0,4,2
766,0,0,0,0,3,0,2,0,0,0,4,1
770,0,0,0,0,0,0,1,2,0,0,4,3
772,0,0,0,2,3,0,0,0,0,1,4,0
