dataset,candidate,pooled_mean,within_variance,between_variance,min_rank,max_rank,rank_range,total_variance,pooled_se,rubin_df,critical_value,lower_95,upper_95,pooled_total,pooled_rank
scores_3_neg,Marine.Le.Pen,-0.834075723830735,2.749155219823215e-4,4.340256248728814e-5,11,11,0,3.2699859696706725e-4,0.018083102526034275,157.6734374198998,1.9751236423484848,-0.8697920871569169,-0.7983593605045531,-749,11
scores_3_neg,Eric.Zemmour,-0.8748329621380845,2.263176471896511e-4,4.3154547844504144e-5,12,12,0,2.7810310460305607e-4,0.016676423615483507,115.36020849174437,1.9807417829264342,-0.9078646511830538,-0.8418012730931151,-785.5999999999999,12
scores_3_pos,Jean.Luc.Mélenchon,1.5331923890063426,0.0010844839447482256,2.9946944741184454e-5,1,1,0,0.001120420278437647,0.03347267958257371,3888.2517647393674,1.9605742838332176,1.4675667142057593,1.5988180638069258,725.2,1
scores_3_pos,Yannick.Jadot,1.2638477801268497,9.042037919513886e-4,7.59847851641912e-6,2,2,0,9.133219661710915e-4,0.030221217152376433,40132.11289461964,1.960023097838381,1.2046134964634025,1.323082063790297,597.8,2
scores_3_pos,Philippe.Poutou,0.9704016913319239,0.0013937526264182693,5.810601218438123e-5,3,3,0,0.0014634798410395268,0.03825545504943742,1762.0930840800518,1.9613111743466816,0.8953708398637451,1.0454325428001028,459,3
scores_3_pos,Fabien.Roussel,0.9010570824524313,0.0010648665368536414,8.3583263680613845e-05,4,4,0,0.001165166453270378,0.034134534613355694,539.8023781161851,1.9643683904318645,0.834004281635853,0.9681098832690096,426.2,4
scores_3_pos,Anne.Hidalgo,0.8173361522198732,9.450598185107578e-4,7.285599989272713e-5,5,5,0,0.0010324870183820304,0.03213233602435451,557.87391243344,1.9642254113306403,0.7542210012754211,0.8804513031643253,386.6,5
scores_3_pos,Nathalie.Arthaud,0.6393234672304441,0.0010098627948113097,2.8159067443201566e-5,6,6,0,0.0010436536757431516,0.032305629164948196,3815.696092866769,1.9605858923271289,0.5759855064468948,0.7026614280139933,302.40000000000003,6
scores_3_pos,Emmanuel.Macron,0.5594080338266385,0.0012118436870999598,7.73256931376809e-5,7,7,0,0.001304634518865177,0.03611972478944402,790.7288533325946,1.9629686109692808,0.48850614782811086,0.6303099198251662,264.6,7
scores_3_pos,Jean.Lassalle,0.4245243128964059,7.984235770712611e-4,2.713103799686204e-4,8,8,0,0.0011239960330336057,0.03352605006608452,47.67538808511617,2.0109884865708008,0.3571038122133137,0.4919448135794981,200.79999999999998,8
scores_3_pos,Valérie.Pecresse,0.23763213530655392,5.359275836967078e-4,1.0861354585234848e-4,9,9,0,6.66263838719526e-4,0.025812087066324683,104.52543903587961,1.9829202099914764,0.1864488262006791,0.28881544441242873,112.4,9
scores_3_pos,Nicolas.Dupont.Aignan,0.13023255813953488,2.990224780873292e-4,5.050753366796481e-5,10,10,0,3.5963151848888693e-4,0.018963953134536242,140.83178009240953,1.9769519278558507,0.09274173443044545,0.16772338184862431,61.6,10
scores_3_pos,Marine.Le.Pen,0.11670190274841437,3.293823012723248e-4,5.676510421089831e-5,11,11,0,3.975004263254028e-4,0.019937412728972703,136.21025871805213,1.9775333752145792,0.07727500366144287,0.15612880183538586,55.199999999999996,11
scores_3_pos,Eric.Zemmour,0.092600422832981,2.9266642277798153e-4,1.2068171761371731e-5,12,12,0,3.071482288916276e-4,0.017525644892317872,1799.3289381016314,1.9612832767546837,0.05822766859133682,0.1269731770746252,43.80000000000002,12
