dataset,strategy,candidate,total_score,rank
scores_4_neg,mean_imp,Philippe.Poutou,588.821793416572,3
scores_4_neg,mean_imp,Fabien.Roussel,374.19354838709614,4
scores_4_neg,mean_imp,Anne.Hidalgo,277.14027149321277,5
scores_4_neg,mean_imp,Nathalie.Arthaud,161.43778801843294,6
scores_4_neg,mean_imp,Emmanuel.Macron,-62.43101482326109,7
scores_4_neg,mean_imp,Jean.Lassalle,-122.33729216151987,8
scores_4_neg,mean_imp,Valérie.Pecresse,-464,9
scores_4_neg,mean_imp,Nicolas.Dupont.Aignan,-677.727923627686,10
scores_4_neg,mean_imp,Marine.Le.Pen,-701.497630331755,11
scores_4_neg,mean_imp,Eric.Zemmour,-754.758620689656,12
scores_4_neg,multiple_imp,Jean.Luc.Mélenchon,1130.4,1
scores_4_neg,multiple_imp,Yannick.Jadot,839.9999999999998,2
scores_4_neg,multiple_imp,Philippe.Poutou,566.8000000000002,3
scores_4_neg,multiple_imp,Fabien.Roussel,374.2000000000001,4
scores_4_neg,multiple_imp,Anne.Hidalgo,277.40000000000015,5
scores_4_neg,multiple_imp,Nathalie.Arthaud,147.40000000000026,6
scores_4_neg,multiple_imp,Emmanuel.Macron,-84.20000000000007,7
scores_4_neg,multiple_imp,Jean.Lassalle,-128.59999999999974,8
scores_4_neg,multiple_imp,Valérie.Pecresse,-474.4000000000001,9
scores_4_neg,multiple_imp,Nicolas.Dupont.Aignan,-679,10
scores_4_neg,multiple_imp,Marine.Le.Pen,-709.4,11
scores_4_neg,multiple_imp,Eric.Zemmour,-755.1999999999999,12
scores_4_pos,cluster_imp,Jean.Luc.Mélenchon,2043.020975032719,1
scores_4_pos,cluster_imp,Yannick.Jadot,1675.7194673727563,2
scores_4_pos,cluster_imp,Philippe.Poutou,1378.3914965377637,3
scores_4_pos,cluster_imp,Fabien.Roussel,1146.1394197844268,4
scores_4_pos,cluster_imp,Anne.Hidalgo,1105.8170793315296,5
scores_4_pos,cluster_imp,Nathalie.Arthaud,870.7902846637721,6
scores_4_pos,cluster_imp,Emmanuel.Macron,850.5257036353881,7
scores_4_pos,cluster_imp,Jean.Lassalle,665.5455960690115,8
scores_4_pos,cluster_imp,Valérie.Pecresse,367.0869338731254,9
scores_4_pos,cluster_imp,Marine.Le.Pen,224.30340680131644,10
scores_4_pos,cluster_imp,Nicolas.Dupont.Aignan,206.2903434721616,11
scores_4_pos,cluster_imp,Eric.Zemmour,157.91180035650646,12
scores_4_pos,complete_case,Jean.Luc.Mélenchon,1510,1
scores_4_pos,complete_case,Yannick.Jadot,1237,2
scores_4_pos,complete_case,Philippe.Poutou,974,3
scores_4_pos,complete_case,Fabien.Roussel,834,4
scores_4_pos,complete_case,Anne.Hidalgo,796,5
scores_4_pos,complete_case,Nathalie.Arthaud,605,6
scores_4_pos,complete_case,Emmanuel.Macron,594,7
scores_4_pos,complete_case,Jean.Lassalle,485,8
scores_4_pos,complete_case,Valérie.Pecresse,265,9
scores_4_pos,complete_case,Marine.Le.Pen,153,10
scores_4_pos,complete_case,Nicolas.Dupont.Aignan,143,11
scores_4_pos,complete_case,Eric.Zemmour,104,12
scores_4_pos,knn_imp,Jean.Luc.Mélenchon,2039,1
scores_4_pos,knn_imp,Yannick.Jadot,1678.5999999999997,2
scores_4_pos,knn_imp,Philippe.Poutou,1363.6000000000001,3
scores_4_pos,knn_imp,Fabien.Roussel,1159.000000000001,4
scores_4_pos,knn_imp,Anne.Hidalgo,1102,5
scores_4_pos,knn_imp,Nathalie.Arthaud,870.6,6
scores_4_pos,knn_imp,Emmanuel.Macron,797.2,7
scores_4_pos,knn_imp,Jean.Lassalle,652.6000000000001,8
scores_4_pos,knn_imp,Valérie.Pecresse,350.19999999999953,9
scores_4_pos,knn_imp,Nicolas.Dupont.Aignan,191.39999999999975,10
scores_4_pos,knn_imp,Marine.Le.Pen,188.99999999999994,11
scores_4_pos,knn_imp,Eric.Zemmour,132.2,12
scores_4_pos,lowest_rank,Jean.Luc.Mélenchon,1981,1
scores_4_pos,lowest_rank,Yannick.Jadot,1602,2
scores_4_pos,lowest_rank,Philippe.Poutou,1262,3
scores_4_pos,lowest_rank,Fabien.Roussel,1033,4
scores_4_pos,lowest_rank,Anne.Hidalgo,999,5
